Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
Bil & Båt Service AS; Hestneselva 1; 8590; Kjøpsvik; BILVERKSTED01, KONTROLLORGAN01; 964096058; 9209
LEVANGER AUTO AS; Ravnsgate 6B; 7600; LEVANGER; BILVERKSTED01B, KONTROLLORGAN01B; 919837098; 30656
Andresen Ski; Åsveien 5; 1400; SKI; BILVERKSTED01B, KONTROLLORGAN01B, FARTSSKRIVER; 911749963; 717
SLETTA SENTER AS; HELLANDSVEGEN 521; 5939; SLETTA; HJUL; 960412370; 30382
TOTEN SERVICESENTER AS; HUNNSELVVEGEN 3; 2830; RAUFOSS; PABYGGER; 917131465; 30205
Kragerø Auto AS Skadeverksted; DALANEVEIEN 13; 3772; KRAGERØ; BILSKADE; 916785887; 31525
Ydersbil v/Erik Ydersbond; Ydersbotn; 1970; HEMNES; BILVERKSTED01, KONTROLLORGAN01; 969255588; 1116
Taugbøl Bil og Maskin AS; Gaupevegen 1A; 2211; KONGSVINGER; BILVERKSTED01, KONTROLLORGAN01; 922927219; 2539
BERTEL O STEEN BUSKERUD AS; Vestre Linnesvei 8; 3401; LIER; BILVERKSTED01B, KONTROLLORGAN01B; 948017539; 30648
Wist Last og Buss AS, avd. Namsos; Navarvegen 10, Spillum; 7820; Namsos; FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, ALKOLASVERKSTED; 958315120; 8742
ÅRSKOG SERVICE AS; Årskog Industriområde; 5419; FITJAR; HJUL, LYSUTSTYR; 998398738; 30871
Autoservice Mosjøen AS; Mattismoen 5; 8656; Mosjøen; BILSKADE; 913364430; 8853
TUNGEN BIL A/S; Hageveien 15 B; 2613; LILLEHAMMER; BILVERKSTED01, KONTROLLORGAN01; 961345421; 2620
HAUGLI SVERRE BILFORR. A/S; STORGT. 26; 3510; HØNEFOSS; BILVERKSTED01, KONTROLLORGAN01; 912501906; 3394
Sande Dekk- og Utleieservice; Gamle Dalavegen 78; 5600; NORHEIMSUND; HJUL; 920185371; 31385
J/S Serviceteam AS; Grønland 21; 3045; DRAMMEN; BILVERKSTED01; 998283345; 23586
Vianor AS avdeling Økern; Eikenga 29; 0579; OSLO; HJUL; 935429447; 24620
Bil - Vulkan A/S; Ramstadv. 10; 1850; Mysen; HJUL; 927578891; 210
VEVANG AS; STRANDVEGEN 232; 9790; KJØLLEFJORD; BILGLASS; 898177882; 29573
ENGEL DEKK AS; Hauglandsvegen 17; 5310; HAUGLANDSHELLA; HJUL; 918469230; 30417
BODAHL-JOHANSEN AS avd GAMLE FREDRIKSTAD; Habornveien 46; 1630; GAMLE FREDRIKSTAD; HJUL; 965308032; 28538
Volvo Truck Center Gardermoen; Hovinmovegen 18; 2060; GARDERMOEN; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 910712799; 1084
Valle Bil og Maskin AS; Øyne industriveg 19; 4747; VALLE; BILVERKSTED01B, KONTROLLORGAN01; 912177912; 14518
CARGLASS AS avd Askim; Haugomgt 2-4; 1811; ASKIM; BILGLASS; 985758220; 29583
Flisa bil AS; Negardsvegen 8; 2270; Flisa; BILVERKSTED01B, KONTROLLORGAN01B; 836634152; 2476
TRAILERSENTERET AS; MOSTERØYVEIEN 86; 4156; MOSTERØY; BILVERKSTED02, BILVERKSTED03, PABYGGER; 914721032; 29733
THANSEN AS avd MOSS; Varnaveien 43E; 1526; MOSS; HJUL; 923897682; 31466
STRANDVEIEN AUTO STJØRDAL AS; Teglgata 4; 7502; STJØRDAL; BILVERKSTED01, KONTROLLORGAN01; 958648499; 8521
BLAKSTAD AUTO AS; Hellandsjøveien 4; 7200; Kyrksæterøra; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 918058370; 8306
Lena Autoservice AS; Vallevegen 5; 2850; LENA; BILVERKSTED01, KONTROLLORGAN01; 978639240; 2996
O. L. SENTERET AS; Industriveien; 3301; HOKKSUND; BILSKADE; 944174230; 3954
ALVDAL AUTOSERVICE LEIF A WÅLENGEN; Nord-Østerdalsveien 5140; 2560; ALVDAL; HJUL; 980130088; 30201
Frydenbø Bilsenter AS; Haldbrendsøyra 8; 6800; FØRDE; BILVERKSTED01, KONTROLLORGAN01; 967149098; 7092
FERDA BERGEN AS; TELLNES NÆRINGSPARK; 5357; FJELL; HENGERESPALOPSBREMSEANLEGG; 919639466; 31096
GALÅEN TRANSPORT AS; HAVSJØVEIEN NÆRINGSPARK; 7374; RØROS; BILVERKSTED01B, KONTROLLORGAN01B; 978677339; 28256
Sannidal Auto AS; Sannidalsveien 180; 3766; SANNIDAL; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN04; 979367201; 4806
GREFSEN AUTO AS; HANS NIELSEN HAUGES GATE 52; 0481; OSLO; BILVERKSTED01, KONTROLLORGAN01; 919461861; 30908
Sulland Kongsvinger AS; Oslovegen ; 2212; KONGSVINGER; BILVERKSTED01B, KONTROLLORGAN01B; 953331896; 2523
DITT SERVICESENTER AS; RYGGEVEIEN 248; 1580; RYGGE; KONTROLLORGAN01, BILVERKSTED01; 918762981; 30953
HAGENS BIL OG KAROSSERIVERK.;  Krøderen; 3535; KRØDERN; BILVERKSTED01, KONTROLLORGAN01; 918913467; 3382
Aslam Bilservice AS; Industrivn.17; 1424; SKI; BILVERKSTED01, KONTROLLORGAN01; 892480532; 713
DEKK1 AS; Hvamsvingen 5; 2013; SKJETTEN; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 30115
Bjørnars Auto Bjørnar B Bull; Grunnfjordveien 1046; 9130; Hansnes; BILVERKSTED01, KONTROLLORGAN01; 922038090; 9577
Snap Drive AS avd. Helsfyr; Grenseveien 80; 0663; OSLO; BILVERKSTED01, KONTROLLORGAN01; 971585188; 1308
Lazy Boys Speed & Custom Works AS; Strømsveien 266; 0668; OSLO; MOTORSYKKELOGMOPED; 971179465; 1471
DEKK1 AS Jæren; SOLAVEGEN 464; 4354; VOLL; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 30565
HALLINGDAL BILOPPRETTING;  ; 3550; GOL; BILSKADE; 966585315; 3547
Borg Bildemontering og Karosseri; Torvlia 7; 1739; Borgenhaugen; BILSKADE; 989710230; 155
Bilsenteret Bjugn AS; Bjugnveien 24; 7160; Bjugn; BILVERKSTED01, KONTROLLORGAN01; 984114117; 8428
Skoger Bilsenter AS; Meieribakken 4B; 3074; SANDE I VESTFOLD; KONTROLLORGAN01, BILVERKSTED01, BILSKADE; 919472987; 30551
OSLO FELGRETTING AS; Maria Dehlis vei 40; 1083; OSLO; HJUL; 811779032; 31056
Ryds Bilglass AS avd. Lade; Ivar Lykkes vei 4; 7075; TILLER; BILGLASS; 997722981; 29140
Express Bilservice AS; Sjømannsvegen 7; 6008; ÅLESUND; BILVERKSTED01, KONTROLLORGAN01; 984589808; 14139
Volmax AS, avd. Vikersund; Geithusveien 69; 3370; VIKERSUND; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 984674104; 24528
Bil i Nord Lofoten AS; Vorsetøyveien 25; 8300; SVOLVÆR; BILVERKSTED01, KONTROLLORGAN01; 887102562; 9261
KOKSTAD BILVERKSTED AS; Kokstadvegen 31; 5257; KOKSTAD; BILVERKSTED01B, KONTROLLORGAN01B; 996396819; 17720
Furnes Auto AS; Gjerluveien 65; 2320; FURNES; BILVERKSTED01; 896487752; 18019
STRYN BENSINSTASJON AS; TONNINGSGATA 2; 6783; STRYN; LYSUTSTYR, HJUL, EKSOSANLEGG; 935837685; 30416
Motor Forum AS Oslo; Østre Aker vei 62; 0581; OSLO; BILVERKSTED01, KONTROLLORGAN01; 822276482; 1535
DEKKPROFF AS, avd. Kristiansand; Barstølveien 29; 4636; KRISTIANSAND S; HJUL; 916725558; 30783
Riseberg MC og trafikkskole; Gurudveien 21; 1832; Askim; HJUL, EKSOSANLEGG, LYSUTSTYR; 974684918; 206
Badderen Servicesenter; Kvænangsveien 2380; 9162; SØRSTRAUMEN; BILVERKSTED01, KONTROLLORGAN01; 976764250; 23720
1DEKKBUTIKK.NO AS; HEMMINGSTADVEGEN 27; 5535; HAUGESUND; HJUL, BILGLASS; 817188222; 30043
POLARDEKK AS; NORDRE GATE 10; 8622; MO I RANA; HJUL; 915549993; 30766
BJØRN MOENS BILVERKSTED; Rafnesveien 10; 3965; HERRE; BILVERKSTED01, KONTROLLORGAN01; 970157824; 4861
Friisco Bilskadesenter AS; Industriveien 1; 8657; Mosjøen; BILSKADE; 931912852; 8812
HEMNES GLASS OG RAMMESERVICE ; Langstranda 5; 1970; HEMNES; BILGLASS; 971050810; 29531
Norsk Bilkontroll AS; PEDDELLEN 10; 3960; STATHELLE; KONTROLLORGAN01; 979322909; 28879
B.I.R Transport AS; PB 6004 Postterminalen; 5892; BERGEN; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 984505469; 6515
M Nordvik AS; Sivert Nilsens gate 80; 8007; BODØ; KONTROLLORGAN01, BILVERKSTED01B; 960852338; 31370
Kanstad Mekaniske AS; Meistervik; 9055; Meistervik; PABYGGER; 936245692; 9510
VULMEK SIGMUND KRISTIANSEN; VOLLABAKKVEIEN 18; 9040; NORDKJOSBOTN; HJUL; 883946642; 29740
MADLA BILPLEIE & BILVASK AS; HILLEVÅGSVEIEN 100; 4016; STAVANGER; HJUL; 916137699; 30085
BIL OG ANLEGGSDEKK AS avd. Madla; Revheimsveien 74; 4043; HAFRSFJORD; HJUL; 932580861; 29276
Arka AS; Industriveien 11; 5200; OS; PABYGGER; 915303935; 6585
Wist Last og Buss AS; Fannestrandsvegen 51 b; 6416; Molde; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 958315120; 7698
RÅDE LAST OG HYDRAULIKK AS; ÅKEBERGMOSEN 19; 1640; RÅDE; BILVERKSTEDALLE, PABYGGER; 917466637; 30821
VIANOR OSLO BRYN; Brynsengveien 5; 0667; OSLO; HJUL, BILVERKSTED01, KONTROLLORGAN01; 935429447; 30531
Topp Auto AS  ; Strandgata 16; 2815; GJØVIK; BILVERKSTED01B, KONTROLLORGAN01B; 875944452; 2929
Sulland Bilskadesenter AS; Industrigata 26; 2619; LILLEHAMMER; BILSKADE; 856400662; 2630
VOLL BILVASK OG BILPLEIE BESTUN BESTUN SIDIQ MOHAMMED; VOLLVEGEN 53; 4354; VOLL; EKSOSANLEGG, HJUL; 820648102; 31166
Østbyen Bil og Karosseri A/S; Brusdalsvn. 244; 6011; ÅLESUND; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 984144644; 7369
Kverneland Bil AS avd. Bergen Åsane; Nordre Brurås 4, Haukås; 5131; NYBORG; BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE; 977047684; 6660
DYRØY VEDLIKEHOLD; KVERNELANDSVEGEN 496; 4346; BRYNE; BILGLASS; 917400547; 30079
Stange Servicesenter AS; Torstadvegen 5; 2335; STANGE; BILVERKSTED01B, KONTROLLORGAN01B; 999056733; 25220
CARGLASS AS AVD LANGNES; Heilovegen 6; 9015; TROMSØ; BILGLASS; 923155333; 31294
HEIMDAL AUTOSERVICE AS; Kvenildstrøa 2C; 7093; TILLER; BILVERKSTED01, KONTROLLORGAN01; 962926606; 8030
BILMIX AS; Fosserveien 275; 1963; FOSSER; BILVERKSTED01; 918702741; 31143
ØGAARD & WILHELMSEN A/S; SUNDGATA 27; 2080; EIDSVOLL; HJUL; 947377469; 29434
Alf Graarud Motor AS; Haugeveien 8; 1738; Borgenhaugen; MOTORSYKKELOGMOPED; 931778757; 168
Berg Bil ; Lillestrømvn. 1640 Midtun; 1911; FLATEBY; BILVERKSTED01; 965057943; 1053
Amund Tanggård; Hummerbakken; 3294; STAVERN; BILVERKSTED01, KONTROLLORGAN01; 992565705; 16979
Karmsund Sveis & Påbygg A/S; Bønesvegen 70; 4260; TORVASTAD; PABYGGER; 972406104; 6447
DEKKTEAM KRISTIANSUND AS; Pilotveien 7; 6517; KRISTIANSUND N; HJUL; 991853227; 30226
SENJA AUTOSERVICE AS; ; 9372; GIBOSTAD; HJUL; 917425450; 29396
DEKKPROFF AS avd. Porsgrunn; EIKELIA 11; 3943; PORSGRUNN; HJUL; 916725558; 30960
LINDSKOG AUTO-SERVICE AS; ; 3895; EDLAND; HJUL; 942283865; 29321
Momrak Verkstad AS; Molandsmoen 5; 3870; Fyresdal; BILVERKSTED01B, KONTROLLORGAN01B; 898283852; 5130
HERØY BIL OG MASKIN AS; Sør-Herøyveien 2; 8850; Herøy; BILVERKSTED01, KONTROLLORGAN01; 965714049; 8806
Folla Bil & Båt AS; Storlavika; 7770; FLATANGER; BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01B; 984036787; 13276
Hurdal Bil A/S; Øverbyvegen/Strand gård; 2090; HURDAL; BILSKADE; 979965966; 1239
MDESIGN AS; Gunnar Bergs vei 28; 8300; SVOLVÆR; HJUL; 913857461; 29793
Motor Technik AS; Rødmyrsvingen 60; 3735; SKIEN; BILVERKSTED01, KONTROLLORGAN01; 924661895; 30447
Toyota Romerike AS avd. Eidsvoll; Vognvegen 27; 2072; DAL; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 922754136; 1200
MINGES UNIVERSAL SERVICE AS; KROKSUNDVEIEN 40; 1860; TRØGSTAD; KONTROLLORGAN01, BILVERKSTED01; 813875012; 30504
STEINSPRUTEN BILGLASS AS; FORUSVEIEN 31; 4033; STAVANGER; BILGLASS; 997719670; 29529
Tor & Bjørn Autoservice AS; Storåkeren 9; 9411; HARSTAD; BILVERKSTED01, KONTROLLORGAN01; 939188282; 9425
Kvinnherad Bil & Teknikk AS; Teigarustene 1; 5460; Husnes; BILVERKSTED01, KONTROLLORGAN01; 983906818; 6731
Motor Forum AS; Ingvald Ludvigsengate 21; 3027; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 995515784; 16858
Skjærvik`s Scooter & MC AS; Saltfjellveien 426; 8615; Grubhei; MOTORSYKKELOGMOPED; 989165011; 8959
Porsche Center Stavanger AS; Fabrikkveien 41; 4067; STAVANGER; BILVERKSTED01, KONTROLLORGAN01; 989930877; 22821
Kristiansand Bilverksted AS; Rigedalen 10; 4626; Kristiansand; BILVERKSTEDALLE, KONTROLLORGAN01; 990693811; 5657
BILGLASS PROFF1 ANDRESEN; Plogveien 5; 7320; FANNREM; BILGLASS; 916687478; 30093
Autosenteret Løten AS; Dalstuvegen 1; 2340; LØTEN; BILVERKSTED01, KONTROLLORGAN01; 913406931; 26541
JÆREN STORBIL SENTER AS; LJOSHEIMSVEIEN 1; 4051; SOLA; HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG; 986348670; 30026
DEKK1 AS Bryne; Jærveien 152; 4344; BRYNE; HJUL; 979579292; 29272
DEKK OG DELER AS avd. Fyllingsdalen; HARDANGERVEGEN 150; 5226; NESTTUN; HJUL; 996430022; 31016
DEKKTEAM AS avd Eidsvoll; Industriveien 44; 2072; DAL; HJUL; 913774914; 29264
Hemnes Bil; Trinbergveien 7 B / Luteriet; 1970; HEMNES; BILSKADE; 993490482; 20540
Vagnild Bil; Aasen; 7288; SOKNEDAL; BILSKADE; 994904949; 17519
SHR AUTOSERVICE AS; INGESKOGEN 1; 6036; MAUSEIDVÅG; KONTROLLORGAN01, BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01B; 919512768; 30730
MÅLØY AUTO AS; SJØGATA; 6702; MÅLØY; BILVERKSTED01B, KONTROLLORGAN01B; 988754846; 7120
Auto 1 Elnesvågen AS; Eidem; 6440; ELNESVÅGEN; BILVERKSTED01B, KONTROLLORGAN01B; 995419963; 16578
BILSKADESERVICE DRAMMEN AS; NEDRE EIKERVEI 26; 3045; DRAMMEN; BILSKADE; 889496592; 31398
Biltunet Verksted AS; Nygårdsveien 30; 1423; SKI; BILVERKSTED01, KONTROLLORGAN01; 988640484; 809
BILVERKSTED SENTRUM AS; CHRISTIAN KROHGS GATE 1; 0186; OSLO; BILVERKSTED01, KONTROLLORGAN01; 913432290; 28831
GJERSTAD AUTO AS; BROKELANDSHEIA NORD 3; 4993; SUNDEBRU; KONTROLLORGAN01, BILVERKSTED01; 922358117; 31127
KOMPLETT BILSERVICE AS; BUSKERUDVEIEN 124; 3027; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 914524113; 28192
DEKK OG DELER BILVERKSTED SOTRA AS; TROLLHAUGMYRA 10; 5353; STRAUME; BILVERKSTED01, KONTROLLORGAN01; 919510447; 30577
TORLAND MASKIN AS; TORLANDSVEGEN 190; 4365; NÆRBØ; TRAKTOR; 989423940; 30075
Laastad & Co; Hjøllo; 5750; ODDA; BILVERKSTED01, KONTROLLORGAN01; 975941264; 6716
Kongsberg Bilservice DA; Skrubbmoen 12; 3619; SKOLLENBORG; BILVERKSTED01, KONTROLLORGAN01; 994282786; 14898
SCHAU'S BUSS AS; VESTBYVEIEN 15; 1543; VESTBY; BILVERKSTEDALLE, ALKOLASVERKSTED; 933658473; 29799
CARGLASS AS AVD STORD; ENSJØVEIEN 17; 0655; OSLO; BILGLASS; 923202676; 31367
Høyveg Mekaniske Verksted AS; Høyveg 23; 2662; DOVRE; BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01B; 940471079; 2812
BJØRNAAS MOTOR; RÅKA 15; 7335; JERPSTAD; HJUL; 989468332; 29683
DEKKPROFF AS avd. Rygge; Kvaenveien 9; 1529; MOSS; HJUL; 916725558; 31183
Møller Bil Orkdal AS; Tiltaksvegen 1; 7300; ORKANGER; BILVERKSTED01, KONTROLLORGAN01; 834874482; 8324
Dahles Auto Fredrikstad AS; Stabburveien 3; 1617; FREDRIKSTAD; BILVERKSTED01B, KONTROLLORGAN01B; 962983251; 305
AQUASHINE BILPLEIE & DEKK AS; GLADENGVEIEN 16; 0661; OSLO; HJUL; 995855690; 28395
Nobina Norge AS; Jernkroken 2; 0976; OSLO; BILVERKSTED03, KONTROLLORGAN03; 915768237; 22681
KOLLSTAD LAKK & SANDBLÅSING AS; Ygnevegen 38; 2943; ROGNE; BILVERKSTED01; 997104331; 31091
Sande Auto AS avd. Hyundai - Subaru; Liamyrane 6; 5132; NYBORG; BILVERKSTED01, KONTROLLORGAN01; 946510939; 18099
GILDESKÅL  BIL OG BÅT A/S; Nygårdsjøen; 8120; NYGÅRDSJØEN; BILVERKSTED01B, KONTROLLORGAN01; 981695348; 9099
GRINDA BILDELER AS; ØBERGVEIEN 42; 1793; TISTEDAL; HENGERESPALOPSBREMSEANLEGG, HJUL; 812505572; 30840
LINDÅS BENSIN & SERVICE AS; Veråsvegen 2; 5955; LINDÅS; HJUL, HENGERESPALOPSBREMSEANLEGG; 935690447; 29843
NESBYEN BILSKADESENTER; Nesmoen 2; 3540; NESBYEN; BILSKADE; 981296338; 3560
VERMAX AS; KARIHAUGVEIEN 102; 1086; OSLO; PABYGGER; 914428777; 28326
Aunes Karosseriverksted AS; Hognesaunv. 82; 7513; STJØRDAL; PABYGGER; 974679329; 8511
GLASSMESTERFIRMA EKRA & VOIE AS; STRØMSBUVEIEN 61; 4836; ARENDAL; BILGLASS; 982829577; 29507
HAUGESUND LAKKSENTER AS; HEMMINGSTADVEGEN 25; 5535; HAUGESUND; BILSKADE; 979954158; 30282
Trippel Motor 1 AS; Kirkeveien 43; 4580; LYNGDAL; BILVERKSTED01; 923601287; 31268
SAINT-GOBAIN AUTOVER NORGE AS avd. Oslo Abildsø; ENEBAKKVEIEN 305; 1188; OSLO; BILGLASS; 918276785; 30332
Vadsø Bil og Motor AS; Sør-Varangerveien 4; 9800; VADSØ; BILVERKSTED01, KONTROLLORGAN01; 981882695; 9741
GJERDE DEKKBEHANDLING; Holsekerdalen 128; 6065; ULSTEINVIK; HJUL; 919889365; 31530
AUKRA  AUTO  AS; Riksfjord; 6480; Aukra; BILVERKSTEDALLE, KONTROLLORGAN04, BILVERKSTED01, KONTROLLORGAN01; 955902491; 7665
AUTOLAKK AS; ÅRVOLDSKOGEN 41; 1529; MOSS; BILSKADE; 979715420; 30422
Bertel O Steen Lillehammer Motorcentral AS; Industrigata 58; 2619; LILLEHAMMER; BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01B; 942799748; 2601
Bertel O.Steen Bilsenter AS, avd Larvik; Øya 2; 3262; LARVIK; BILVERKSTED01, KONTROLLORGAN01; 918707565; 4611
BERTEL O. STEEN BERGEN AS; Liamyrane 5 ; 5132; NYBORG; BILVERKSTED01; 910116851; 30400
JÆGER  automobil as avd.Åsane;  PB 213 Nyborg, Myrdalsveien 20; 5131; NYBORG; BILVERKSTED01, KONTROLLORGAN01; 839280882; 6555
Levanger Servicesenter AS; Gråmyrvegen 30; 7608; LEVANGER; BILVERKSTED01, KONTROLLORGAN01; 914154944; 27641
ER-AN BILVERKSTED; Røykenes; 5212; SØFTELAND; BILVERKSTED01B, KONTROLLORGAN01B; 954851524; 6608
Bavaria Sør, avd. Farsund; Ferjeveien 17; 4550; FARSUND; BILVERKSTED01, KONTROLLORGAN01; 984146930; 26181
TESLA MOTORS NORWAY AS avd. Haugesund; NOREVEGEN 2; 5541; KOLNES; BILVERKSTED01; 997433173; 31491
NORDIC AUTO EL AS; SAM EYDES VEI 5B; 1412; SOFIEMYR; ALKOLASVERKSTED; 999215475; 31059
RAMSTAD LASTEBILSERVICE A/S; Ramstadløkka 5; 1850; MYSEN; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 961685818; 227
HØYDALSMO SERVICENTER AS; HØYDALSMOVEGEN 752; 3891; HØYDALSMO; HJUL; 999214029; 29261
Volmax AS  Borgeskogen; Borgeskogen 46; 3160; STOKKE; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, ALKOLASVERKSTED; 984674104; 4705
Nordvik AS avd. Andøy; Saura; 8485; DVERBERG; BILVERKSTED01, KONTROLLORGAN01; 946549770; 30239
SKAUMA MEK INGE ASBJØRN SKAMFER; SKAUMA BRU; 7391; RENNEBU; HJUL, HENGERESPALOPSBREMSEANLEGG, BILGLASS; 919739606; 30865
Tom's Bil AS; Roalinna 16; 2740; ROA; BILSKADE; 966294019; 3024
Moland Bilverksted; Brømnesveien 19; 4849; Arendal; BILVERKSTED01; 953940892; 5356
Tesla Motors Norway AS, avd. Skøyen; Drammensveien 130; 0277; OSLO; BILVERKSTED01; 997433173; 26102
BIL OG SERVICE FINNSNES AS; STORGATA 49; 9300; FINNSNES; HJUL; 984049846; 30485
Søreide Bilverksted AS; Ytrebygdsvegen 37; 5252; SØREIDGREND; BILVERKSTED01, KONTROLLORGAN01; 912597229; 25741
Jørpeland Bilverksted A/S; Nedre Barkvedvegen 13; 4100; Jørpeland; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 952594605; 5996
PETERSEN OG SKOGHEIM SERVICESENTER  A/S; MIDTSTRANDA ; 2307; HAMAR; BILVERKSTED01, KONTROLLORGAN01; 985072000; 2010
AS Stål og Gummi; Markveien 55; 9510; ALTA; HJUL; 935052904; 9630
Altiett A/S; Husflidveien 13; 1850; MYSEN; BILSKADE; 984620179; 250
MHWirh Workshop, Lyngdal; Stamsøyveien 6; 4580; LYNGDAL; PABYGGER; 942524544; 29934
HARILA AS, avd. Bardu; Fogd Holmboesgt. 59; 9360; BARDU; BILVERKSTED01, KONTROLLORGAN01; 917630747; 29690
PORSCHE CENTER ASKER & BÆRUM AS; Billingstadsletta 13; 1396; BILLINGSTAD; BILVERKSTED01, KONTROLLORGAN01; 919453273; 31330
Jan Haukali  Auto A/S; Fabrikkveien 8; 4323; Sandnes; BILVERKSTED01, KONTROLLORGAN01; 984039905; 6039
SMART DEKK AS; STRAUMEVEIEN 20; 5152; BØNES; HJUL; 916682530; 29866
CARFIX VIK AS; Sentrumsgata 2; 6893; VIK I SOGN; KONTROLLORGAN01B, BILVERKSTED01B, BILSKADE; 919579048; 30628
NAF Senter Trondheim; Ivar Lykkers veg 9; 7075; TILLER; KONTROLLORGAN01B, BILVERKSTED01B; 987372540; 8200
HÆHRE & ISACHSEN AUTO AS; Teglverksveien 100; 3057; SOLBERGELVA; BILVERKSTED01B, KONTROLLORGAN01B; 917188807; 30453
Kvickstop A/S; Fjellhamarveien 5; 2010; Strømmen; BILVERKSTED01, KONTROLLORGAN01; 985491380; 1004
BILXPERTEN BOSCH AS; Persveien 32; 0581; OSLO; BILVERKSTED01B; 998657032; 25643
MELHUS BIL TRONDHEIM AS; Tungasletta 8; 7047; TRONDHEIM; BILVERKSTED01B, KONTROLLORGAN01B; 944638741; 8153
FIXBIL ARNA AS; ARNATVEITVEGEN 143; 5262; ARNATVEIT; BILVERKSTED01, KONTROLLORGAN01; 913988965; 28399
ROGALAND AUTO AS; SKIPPERGATA 116; 4328; SANDNES; BILVERKSTED01; 916854366; 29940
Frya Bil AS; Flyplassvegen 55; 2630; RINGEBU; BILVERKSTED01, KONTROLLORGAN01; 992119381; 14438
Haga Maskin AS; Eggedalsveien 255; 3358; NEDRE EGGEDAL; BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01; 985557330; 11350
HSK RACING AS; IDRETTSVEIEN 24; 9603; HAMMERFEST; HJUL; 898049302; 30486
Bilreparatørene AS; Ravnåsveien 8; 4848; ARENDAL; BILVERKSTED01, KONTROLLORGAN01; 892814392; 12572
ANDERS LANGÅS AS; Messelveien 312; 4820; FROLAND; HJUL; 947612018; 31303
Øystese Mek. Verkstad AS; Lundanes 2; 5610; ØYSTESE; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 966912456; 6983
GRUE FINNSKOG BIL&MEK.VERKST AS; Svullrya; 2256; Grue Finnskog; BILVERKSTED01B, KONTROLLORGAN01B; 990217874; 2401
ABSOLUTT BILPLEIE AS; MØLLENDALSVEIEN 1; 5009; BERGEN; HJUL; 915451144; 29762
FLORØ BILOPPRETTING; GUNHILDVÅGEN; 6902; FLORØ; BILSKADE; 971049154; 7097
ELBILMEK AS Drammen; Konnerudgata 73; 3046; DRAMMEN; BILELEKTRODRIVSTOFFANLEGG; 997874552; 31325
Bil-Service AS, avd. Bilskadeverksted; Nygårdsveien 79; 3221; SANDEFJORD; BILSKADE; 975933601; 13418
Norsk Scania AS avd. Oslo; Gamle Leirdalsvei 11; 1008; OSLO; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03, ALKOLASVERKSTED; 879263662; 1414
Lio Auto AS; Storvegen 229; 3880; Dalen; BILVERKSTED01, KONTROLLORGAN01; 913955668; 5209
Vang Auto-service  AS; Tyinvegen 5340; 2975; VANG I VALDRES; BILVERKSTED01, KONTROLLORGAN01; 925734543; 3213
Hafjell Bilservice AS; Strømshuguvegen 3; 2636; Øyer; BILVERKSTED01B, KONTROLLORGAN01B; 989713558; 2627
DEKKMANN AS avd Furuset; Søren Bulls vei 2 ; 1051; OSLO; KONTROLLORGAN01, BILVERKSTED01, HJUL; 966242825; 30547
Tjøme Motorverksted AS; ØSTVEIEN 527; 3145; TJØME; BILVERKSTED01, KONTROLLORGAN01; 915666302; 29392
SÆTRE BILSERVICE A/S; NORDRE SÆTREVEI 10; 3475; SÆTRE; BILVERKSTED01, KONTROLLORGAN01; 950429437; 3727
Autotakst AS; Rolfsbuktveien 19; 1364; FORNEBU; BILSKADE; 998127459; 22600
RØKKES BILSERVICE AS; Ingvald Ystgaards vei 11; 7047; Trondheim; BILVERKSTED01, KONTROLLORGAN01; 937070543; 8018
